title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Bocage,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$304.4K,$2.2M,7.4x,12 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/bocage-1957-w:84c01e7bb28b6b7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH13271lot237.jpg
Sans titre,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$93.3K,$598.6K,6.4x,12 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/sans-titre-1980-w:a14349dfe2aa7f3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/HHK0564lot86.jpg
14.12.59,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$3.8M,$22.5M,6x,11 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/14.12.59-1959-w:c8e2b0e9e362ec8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH13275lot226.jpg
14.08.59,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$581.7K,$2.5M,4.2x,4 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/14.08.59-1959-w:cffc4b8f63c94e1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH3255lot9.jpg
Ville suspendue,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$372.5K,$1.6M,4.2x,10 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/ville-suspendue-1956-w:b0d5d65cfd5cad3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0928lot1341.jpg
05.07.67,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$175K,$734.9K,4.2x,9 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/05.07.67-1967-w:f3b2bf772b19756,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/KHK0736lot66.jpg
05.10.91,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$535.3K,$2.2M,4.2x,12 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/05.10.91-1991-w:1a9c3889f7902e0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH13275lot233.jpg
Untitled,ZAO WOU KI (b. 1920 d. 2013),watercolour and ink on paper,$74.4K,$305.9K,4.1x,7 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/untitled-1959-w:16233f98f6560cb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CPF1705lot100.jpg
12.04.60,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$1.2M,$4.6M,4x,6 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/12.04.60-1960-w:bc5f379009d19ed,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH3410lot29.jpg
23.05.61,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$838.1K,$3.3M,3.9x,4 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/23.05.61-1961-w:0c95fa2afc8398d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH2955lot3.jpg
