title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Untitled (head),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$225.9K,$4.1M,18.1x,15 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(head)-w:32c39787e00bd2f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10069lot8.jpg
Pre-agrav,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic on canvas,$375.3K,$6.8M,18x,12 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/pre-agrav-w:d90cce279787f83,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2791lot50.jpg
St. buzzard,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$96K,$1.7M,17.6x,19 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/st.-buzzard-w:d711f0d9047f535,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09572lot59.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""acrylic, oilstick and xerox collage on canvas """,$46K,$806.5K,17.5x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:32d6d064d0c81da,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2482lot345.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),diptych--acrylic and oilstick on panel,$1.7M,$28.9M,17.4x,11 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:78c8b81917360da,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL1134lot25.jpg
Enob,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""acrylic, oil, oilstick, xerox collage and wood collage on panel """,$165K,$2.8M,17.3x,22 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/enob-w:31cf82f3ac38e5f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL1106lot36.jpg
Untitled (black skull),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$222.5K,$3.8M,17x,10 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(black-skull)-w:820735641da5caa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL07020lot51.jpg
Radium 23,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$220K,$3.7M,16.7x,11 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/radium-23-w:748895e2e7fa957,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010412lot28.jpg
Blue heads,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on canvas,$662.5K,$10.8M,16.3x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/blue-heads-w:53db04a5e119adb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2791lot33.jpg
The comic book,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$27K,$432.5K,16x,21 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/the-comic-book-w:39dec522c9103b2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09573lot212.jpg
