title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Femme assise dans un fauteuil (buste de jacqueline),PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$396K,$1.6M,4.2x,17 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-assise-dans-un-fauteuil-(buste-de-jacqueline)-1964-w:3a4a39573b48229,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL6735lot49.jpg
Tête de faune,PABLO PICASSO (b. 1881 d. 1973),"""black conté crayon, colored wax crayons and black felt-tip pen on paper""",$24.3K,$100K,4.1x,14 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-de-faune-1960-w:7e9c96543b8fc3b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN3443lot280.jpg
Femme dans un fauteuil (françoise),PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$3.3M,$13.3M,4x,19 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-dans-un-fauteuil-(franoise)-1949-w:47e17a9748ea826,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN17658lot28.jpg
Tête de femme au corsage rayé (portrait de françoise),PABLO PICASSO (b. 1881 d. 1973),charcoal on paper,$272K,$1.1M,4x,22 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-de-femme-au-corsage-ray-(portrait-de-franoise)-1950-w:4e9e952bfc9237e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09740lot57.jpg
Femme à la guitare dans un fauteuil,PABLO PICASSO (b. 1881 d. 1973),watercolor and pencil on paper,$286K,$1.1M,4x,29 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme--la-guitare-dans-un-fauteuil-1915-w:c0ead57df70a90a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09431lot50.jpg
Nature morte,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$240.5K,$965K,4x,13 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/nature-morte-1937-w:6e14785d45e8a3c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010715lot36.jpg
Portrait de dora maar,PABLO PICASSO (b. 1881 d. 1973),oil and gouache on paper mounted on canvas,$315.2K,$1.3M,4x,10 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/portrait-de-dora-maar-w:4acf3d15136fc65,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10786lot21.jpg
Vue de notre-dame de paris,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$126.4K,$489.4K,3.9x,17 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/vue-de-notre-dame-de-paris-1945-w:2f97bbc00cc7b31,False,
Tête de femme,PABLO PICASSO (b. 1881 d. 1973),"""gouache, watercolor and brushand ink on paper""",$827.5K,$3.2M,3.8x,25 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-de-femme-1906-w:6882ccc94ed9c55,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15483lot29.jpg
Le baiser,PABLO PICASSO (b. 1881 d. 1973),on canvas,$4.8M,$18.1M,3.8x,7 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-baiser-1969-w:e450a4fcf65e3be,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7857lot26.jpg
Le miroir,PABLO PICASSO (b. 1881 d. 1973),oil and sand on canvas,$435K,$1.6M,3.7x,18 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-miroir-1947-w:8363457f4336be7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL16930lot453.jpg
Le peintre et son modèle,PABLO PICASSO (b. 1881 d. 1973),"""brush and black ink, black and gray wash and pencil on paper""",$19.8K,$71.7K,3.6x,18 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-peintre-et-son-modle-1970-w:00643e4ac56af70,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1148lot197.jpg
Grand vase aux danseurs,PABLO PICASSO (b. 1881 d. 1973),painted and engraved terracotta vase with white engobe,$136.2K,$489.3K,3.6x,5 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/grand-vase-aux-danseurs-1950-w:199d9857ce1c8c1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CS3478lot114.jpg
Tête d'homme (profil gauche),PABLO PICASSO (b. 1881 d. 1973),tête d'homme (profil gauche),$38.2K,$137K,3.6x,15 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-d'homme-(profil-gauche)-1931-w:61cfa561b7b80e4,False,
Grand vase aux femmes nues,PABLO PICASSO (b. 1881 d. 1973),painted and engraved terracotta vase with white engobe,$181K,$646.1K,3.6x,8 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/grand-vase-aux-femmes-nues-1950-w:bc23dc0bb66759f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL10336lot455.jpg
Tête soleil,PABLO PICASSO (b. 1881 d. 1973),"""white earthenware ceramic plaque with colored engobe, pastel and glaze""",$41.1K,$143.8K,3.5x,25 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-soleil-1956-w:8c169569a9424ac,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN15979lot329.jpg
Autoportrait,PABLO PICASSO (b. 1881 d. 1973),encre de chine sur carton,$223K,$749.8K,3.4x,21 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/autoportrait-w:8db133b1d65d065,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CP20772lot27.jpg
Nu assis appuyé sur des coussins (jacqueline),PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$497.5K,$1.7M,3.3x,12 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/nu-assis-appuy-sur-des-coussins-(jacqueline)-1964-w:add94bd0c90f915,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN9772lot445.jpg
Les déjeuners,PABLO PICASSO (b. 1881 d. 1973),colored crayons on paper,$79.5K,$262.4K,3.3x,7 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/les-djeuners-1961-w:7ad7cdd22779d60,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08197lot335.jpg
Le peintre et son modèle,PABLO PICASSO (b. 1881 d. 1973),charcoal on paper,$638.5K,$2.1M,3.3x,1 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-peintre-et-son-modle-1933-w:358c5ee1f15776d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/BL16002lot79.jpg
Tête d'homme,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$558.1K,$1.8M,3.2x,15 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-d'homme-1965-w:8e459124ee86ddf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/GL7951lot16.jpg
La fille du concierge tenant une poupée,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$1.2M,$3.9M,3.2x,7 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/la-fille-du-concierge-tenant-une-poupe-1947-w:d726080a582b539,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL08002lot42.jpg
Femme,PABLO PICASSO (b. 1881 d. 1973),terre de faïence pitcher,$2.9K,$8.9K,3.1x,12 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-1955-w:2b226c4df4df952,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0703lot138.jpg
Intérieur au pot de fleurs,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$3.1M,$9.4M,3x,21 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/intrieur-au-pot-de-fleurs-1953-w:8eb08a91e2cd4f4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL18339lot74.jpg
Femme assise dans un fauteuil noir,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$2.7M,$8.1M,3x,11 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-assise-dans-un-fauteuil-noir-1962-w:65518e4387de0dd,False,
Pierrot,PABLO PICASSO (b. 1881 d. 1973),pencil on paper,$242K,$722.5K,3x,18 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/pierrot-1918-w:9802baced5c816d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08675lot31.jpg
Le coq,PABLO PICASSO (b. 1881 d. 1973),coloured crayon on paper,$9.3K,$27.7K,3x,6 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-coq-1930-w:f3080b574f64dcf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL8257lot101.jpg
