title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Abstraktes bild (816-3),GERHARD RICHTER (b. 1932),oil on canvas,$79.5K,$422.5K,5.3x,9 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(816-3)-1994-w:488bbd842261317,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1302lot132.jpg
Bahnhof hannover (hanover station),GERHARD RICHTER (b. 1932),gelatin silver print,$8.9K,$46.5K,5.2x,22 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/bahnhof-hannover-(hanover-station)-1967-w:141fede22b8e132,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/LL1107lot240.jpg
Italienische landschaft (italian landscape),GERHARD RICHTER (b. 1932),oil on canvas,$826.1K,$4.1M,5x,9 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/italienische-landschaft-(italian-landscape)-1966-w:1478aaeb85a479d,False,
12.nov.88,GERHARD RICHTER (b. 1932),oil on paper,$101.6K,$492.5K,4.8x,15 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/12.nov.88-1988-w:94340e90f92ba7b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN14996lot171.jpg
Mustang-staffel (mustang squadron),GERHARD RICHTER (b. 1932),laserchrome print face-mounted to antelio glass,$90K,$425K,4.7x,8 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/mustang-staffel-(mustang-squadron)-2005-w:590c181cc37b7a2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN09142lot401.jpg
Untitled,GERHARD RICHTER (b. 1932),oil on paper,$196.5K,$902.5K,4.6x,9 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-1985-w:ac5778afce86087,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08791lot526.jpg
Souvenir (no. 47),GERHARD RICHTER (b. 1932),oil on canvas,$7.2K,$33K,4.6x,11 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/souvenir-(no.-47)-1994-w:18b61196a393a2f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7740lot21.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$99.8K,$446K,4.5x,9 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1988-w:a6a66c173297ba7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN9778lot77.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$1.2M,$5.1M,4.3x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1990-w:f8a7f2bc25ff831,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7955lot28.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$220.8K,$782.5K,3.5x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1981-w:400f6a35c0106fd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2558lot220.jpg
