title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
The salesman,DAVID HOCKNEY (b. 1937),oil and printed paper collage on canvas,$138.2K,$460.2K,3.3x,17 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/the-salesman-1963-w:cd0845a899232f3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL19021lot101.jpg
"""the skater, new york""",DAVID HOCKNEY (b. 1937),"""collage of chromogenic prints, mounted to grey board""",$3.2K,$10K,3.1x,25 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22the-skater,-new-york%22-1982-w:cac0134f13627fe",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN10381lot457.jpg
Portrait of jack kennedy. model u.c.l.a,DAVID HOCKNEY (b. 1937),ink on paper,$8.7K,$26.3K,3x,2 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/portrait-of-jack-kennedy.-model-u.c.l.a-1966-w:ac0b27bd59a796d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/WL1151lot16.jpg
"""sketch for chinese conjuror from ""parade triple bill"",""gouache",DAVID HOCKNEY (b. 1937),"wax crayon and graphite on paper""",$6.3K,$17.5K,2.8x,6 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22sketch-for-chinese-conjuror-from-%22parade-triple-bill%22,%22gouache-1980-w:d734a06d9ed00fa",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN17647lot5.jpg
Chair in henry's house,DAVID HOCKNEY (b. 1937),ink on paper,$38.2K,$104.5K,2.7x,6 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/chair-in-henry's-house-1976-w:a57e8f930ece82d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2406lot162.jpg
Chair,DAVID HOCKNEY (b. 1937),colored pencil and graphite on paper,$90K,$237.5K,2.6x,13 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/chair-1976-w:e6bfb83f18cb3e9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09909lot273.jpg
Sam who walked alone by night,DAVID HOCKNEY (b. 1937),oil on canvas laid on board,$68K,$176.9K,2.6x,9 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/sam-who-walked-alone-by-night-1960-w:0b28aa542950cd7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7236lot153.jpg
Beach hose by day,DAVID HOCKNEY (b. 1937),oil on canvas,$818.5K,$2.1M,2.5x,7 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/beach-hose-by-day-1990-w:6b7fe63ee26227e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL17020lot158.jpg
"""celia, hollywood, may 1984""",DAVID HOCKNEY (b. 1937),ink on paper,$35K,$85.4K,2.4x,7 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22celia,-hollywood,-may-1984%22-1984-w:47a2198e8bada07",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL17282lot19.jpg
"""reda, age 17, smoking a cigarette, cairo""",DAVID HOCKNEY (b. 1937),pencil,$8.8K,$21.2K,2.4x,14 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22reda,-age-17,-smoking-a-cigarette,-cairo%22-1963-w:5fa0a95c484ecd1",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16141lot62.jpg
With conversation,DAVID HOCKNEY (b. 1937),acrylic on two joined canvases,$1.2M,$2.8M,2.4x,7 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/with-conversation-1988-w:e2ce568cd9120c9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL1536lot39.jpg
Telephone pole los angeles,DAVID HOCKNEY (b. 1937),photographic collage laid on paperboard,$30.6K,$67.8K,2.2x,8 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/telephone-pole-los-angeles-1982-w:5b5f06fa4bd851f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL08021lot352.jpg
Peter powis terr,DAVID HOCKNEY (b. 1937),ink on paper,$16.1K,$35K,2.2x,26 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/peter-powis-terr-1967-w:e937119273d8982,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09553lot380.jpg
Ossie,DAVID HOCKNEY (b. 1937),colored pencil and graphite on paper,$29.9K,$62.5K,2.1x,15 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/ossie-1972-w:4148c2572f18408,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010817lot159.jpg
"""mountain, tree, palace and seashore from le rossignol""",DAVID HOCKNEY (b. 1937),"""gouache, gold paint and graphite on paper""",$31K,$64.7K,2.1x,4 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22mountain,-tree,-palace-and-seashore-from-le-rossignol%22-1981-w:fae0f1e28fddb11",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2683lot242.jpg
Air mail,DAVID HOCKNEY (b. 1937),pen and colored inks on paper,$5.7K,$10.9K,1.9x,10 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/air-mail-1976-w:f3c93057a0fa814,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN6414lot224.jpg
Untitled (punchinello from el gran teatro),DAVID HOCKNEY (b. 1937),acrylic on panel,$121K,$221K,1.8x,6 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/untitled-(punchinello-from-el-gran-teatro)-1984-w:03aa387a6964898,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09142lot232.jpg
Figure with a heart,DAVID HOCKNEY (b. 1937),pen and ink,$15.2K,$26.5K,1.7x,11 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/figure-with-a-heart-1970-w:19d2f8f989a3445,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL16141lot171.jpg
Portrait of henry geldzahler,DAVID HOCKNEY (b. 1937),ink,$31.6K,$51.2K,1.6x,5 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/portrait-of-henry-geldzahler-1976-w:102e1c3f6cff29f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL13296lot70.jpg
Swimming pool,DAVID HOCKNEY (b. 1937),oil on canvas,$2.4M,$3.9M,1.6x,5 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/swimming-pool-1965-w:9962999db3441f0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SS-L12022lot35.jpg
Myself and abraham lincoln,DAVID HOCKNEY (b. 1937),charcoal and chalk on paper,$23.4K,$37.4K,1.6x,9 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/myself-and-abraham-lincoln-1961-w:ed2c3fdde3e9328,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SUK010219lot8.jpg
Ferrill in rome,DAVID HOCKNEY (b. 1937),pen on paper,$13.1K,$17.8K,1.4x,4 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/ferrill-in-rome-1967-w:c3d1d74d9f487b3,False,
Peter sleeping,DAVID HOCKNEY (b. 1937),pen and ink,$22.5K,$29.8K,1.3x,3 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/peter-sleeping-1967-w:f3ea0b8956532ea,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL13232lot151.jpg
"""pico blvd, los angeles""",DAVID HOCKNEY (b. 1937),ink on paper,$45K,$59.6K,1.3x,5 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22pico-blvd,-los-angeles%22-1966-w:d02a7061b7bb4dd",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL17190lot160.jpg
The twenty first very new painting,DAVID HOCKNEY (b. 1937),oil on canvas,$433K,$538.4K,1.2x,6 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/the-twenty-first-very-new-painting-1992-w:4f33e52a241c783,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CUK010613lot206.jpg
Nathan in mustique,DAVID HOCKNEY (b. 1937),pen and ink on paper,$13.3K,$16.4K,1.2x,2 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/nathan-in-mustique-1985-w:405822866d00451,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PL18145lot116.jpg
Bow-tie,DAVID HOCKNEY (b. 1937),paper pulp and pigment,$9.6K,$11.3K,1.2x,5 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/bow-tie-1978-w:a48d6d2de9c9ae0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08766lot259.jpg
Portrait of henry geldzahler,DAVID HOCKNEY (b. 1937),pen and ink on paper,$13.7K,$14.7K,1.1x,5 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/portrait-of-henry-geldzahler-1967-w:c2269abccb9ffa0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL20140lot141.jpg
